word,count,word1,word2,word3,word4,word5
有关,222,与归类在他处的障碍或疾病有关的心理和行为因素,与人工授精有关特指并发症,与产褥期有关的重度精神和行为障碍,与产褥期有关的轻度精神和行为障碍,与精神发育迟滞和刻板动作有关的多动障碍
",",205,"继发性肺结核(初治,单耐药)涂阴培阳","继发性肺结核(初治,单耐药)涂阳培阳","继发性肺结核(初治,多耐药)涂阴培阳","继发性肺结核(初治,广泛耐药)涂阳培阳","继发性肺结核(初治,多耐药)涂阳培阳"
或,198,普通变异型免疫缺陷伴对B或T细胞的自身抗体,2型糖尿病性黑棘皮症或血脂障碍或高胰岛素血症或肥胖症,糖尿病性黑棘皮症或血脂障碍或高胰岛素血症或肥胖症,1型糖尿病性黑棘皮症或血脂障碍或高胰岛素血症或肥胖症,重症联合免疫缺陷伴低或正常数量的B细胞
1,197,EV71感染,细小病毒B19感染,急性淋巴细胞白血病L1,急性淋巴细胞白血病L1伴缓解,滤泡性非霍奇金淋巴瘤1级
周围,195,肛门周围尖锐湿疣,头部周围神经和自主神经恶性肿瘤,面部周围神经和自主神经恶性肿瘤,周围淋巴结结核,法特壶腹周围恶性肿瘤
2,177,急性粒细胞性白血病部分分化型(M2型),急性淋巴细胞白血病L2,急性粒细胞性白血病部分分化型伴缓解(M2型),滤泡性非霍奇金淋巴瘤2级,急性淋巴细胞白血病L2伴缓解
多,166,"继发性肺结核(复治,多耐药)涂阳培阳","继发性肺结核(初治,多耐药)涂阴培阳","继发性肺结核(初治,耐多药)涂阳培阳","继发性肺结核(初治,耐多药)涂阴培阳","继发性肺结核(初治,多耐药)涂阳培阳"
（,159,肺结核瘤，痰镜检（+）,结核性肺炎，痰镜检（+）,肺干酪性结核，痰镜检（+）,结核性肺纤维变性，痰镜检（+）,肺结核，痰镜检（+）
）,158,肺结核瘤，痰镜检（+）,结核性肺炎，痰镜检（+）,肺干酪性结核，痰镜检（+）,结核性肺纤维变性，痰镜检（+）,肺结核，痰镜检（+）
个人,151,嗅觉和味觉问题个人史,恶性肿瘤个人史,严重急性呼吸综合征个人史,视力问题个人史,听觉问题个人史
上,146,麻疹合并上呼吸道感染,上臂内侧横纹肌结核,病毒性肝炎三重感染(三重以上),锁骨上淋巴结结核,肾上腺结核
在,143,与归类在他处的障碍或疾病有关的心理和行为因素,足月胎膜早破(在24小时之内产程开始),血循环中抗凝物质存在,手内在肌挛缩,早产胎膜早破(在24小时之内产程开始)
小,121,病毒性小肠炎,急性小肠炎,沙门菌小肠炎,沙门菌性肾小管间质病,小袋纤毛虫病
所,112,低血糖所致精神障碍,正确用药所致类固醇性糖尿病,胆道感染所致精神障碍,正确用药所致药物性皮质醇增多症,肺结核所致精神障碍
于,109,附加于痴呆的谵妄,继发于蛋白质-热能营养不良的发育迟缓,介于弥漫大B细胞淋巴瘤和经典霍奇金淋巴瘤之间B细胞淋巴瘤(不能分类),介于弥漫大B细胞淋巴瘤和伯基特淋巴瘤之间B细胞淋巴瘤(不能分类),非附加于痴呆的谵妄
问题,108,对生活周期转换的适应问题,由于社会问题引起的高危妊娠监督,避孕问题,与无家可归有关的问题,生育问题
为,102,淋巴细胞为主型霍奇金淋巴瘤,一氧化碳中毒致人格和行为障碍,肺结核(细菌学和组织学检查为阴性),结节性淋巴细胞为主型霍奇金淋巴瘤,抗体缺陷为主的免疫缺陷
无,99,人粒细胞无形体病,病毒性肝炎乙型丁型急性无黄疸型,脊髓灰质炎无瘫痪型,病毒性肝炎甲型急性无黄疸型,无症状型鼠疫
见,97,原发皮肤外周T细胞淋巴瘤(罕见类型),先天性巨结肠常见型,可见性肠蠕动,见于儿童和青少年的短暂分离[转换]性障碍,未见异常
+,97,原发性皮肤CD30+间变性大细胞淋巴瘤,原发皮肤侵袭性嗜表皮CD8+T细胞淋巴瘤,ALK+大B细胞淋巴瘤,原发皮肤CD4+小/中多形性T细胞淋巴瘤,原发皮肤CD30+T细胞淋巴增殖性疾病
大,94,肠侵袭性大肠杆菌肠炎,新生儿肠致病性大肠杆菌肠炎,肠致病性大肠杆菌肠炎,肠毒性大肠杆菌肠炎,新生儿肠毒性大肠杆菌肠炎
部分,89,急性粒细胞性白血病部分分化型(M2型),"先天性共济失调,精神发育迟缓及部分无虹膜",急性粒细胞性白血病部分分化型伴缓解(M2型),舌活动部分恶性肿瘤,部分性脂肪营养不良
及,88,颊部及牙龈恶性肿瘤,舌尖及侧缘的恶性肿瘤,埃及血吸虫病,舌下腺及下颌下腺恶性肿瘤,肺结核(痰涂片及培养均证实)
具有,83,具有流产史的妊娠监督,具有水泡状胎块史的妊娠监督,具有不孕症史者的妊娠监督,具有子宫内避孕装置的妊娠,具有子宫内避孕器的孕产妇医疗
被,73,被动性肾充血,肾被膜积液,被忽视综合征,被遗弃综合征,脾被膜撕裂
/,72,结外NK/T细胞淋巴瘤(鼻型),富T细胞/富组织细胞大B细胞淋巴瘤,T淋巴母细胞白血病/淋巴瘤,B淋巴母细胞性白血病/淋巴瘤,原发皮肤CD4+小/中多形性T细胞淋巴瘤
管,68,"支气管结核(初治,单耐药)涂阳培阳",支气管结核(细菌学和组织学证实),气管结核(细菌学和组织学证实),沙门菌性肾小管间质病,伤寒并发支气管炎
特殊,68,雅司病的特殊筛查,肠道传染病的特殊筛查,胃部肿瘤的特殊筛查,呼吸道结核的特殊筛查,原发皮肤外周T细胞淋巴瘤(非特殊类型)
完全,65,慢性完全性驰缓性截瘫,急性完全性驰缓性截瘫,完全性偏瘫,不完全性偏瘫,急性不完全性驰缓性截瘫
其他,64,其他兴奋剂(包括咖啡因)戒断状态,其他兴奋剂(包括咖啡因)依赖综合征,其他兴奋剂急性中毒,其他兴奋剂(包括咖啡因)的有害使用,原发皮肤弥漫性大B细胞淋巴瘤(其他型)
用,53,酒精非成瘾性滥用,正确用药所致类固醇性糖尿病,酒精的有害使用,阿片类药有害使用,正确用药所致药物性皮质醇增多症
进行,46,先天性非进行性共济失调,进行性多灶性白质脑病,进行性脂肪营养不良,良性非进行性家族性舞蹈病,进行性脓毒性肉芽肿病
单,45,"继发性肺结核(初治,单耐药)涂阴培阳","继发性肺结核(初治,单耐药)涂阳培阳","继发性肺结核(复治,单耐药)涂阳培阳",嗜水气单胞菌肠炎,吡邻单胞菌肠炎
使用,44,大麻类物质的有害使用,可卡因的有害使用,镇静剂或催眠剂的有害使用,阿片类药有害使用,酒精的有害使用
单纯,42,单纯疱疹病毒性水疱皮炎,面部单纯疱疹,阴茎单纯性疱疹,唇部单纯疱疹,阴囊单纯性疱疹
由于,40,由于枕头压迫导致窒息,由于脑部疾病、损害和功能障碍引起的器质性人格和行为障碍,由于肾功能损害引起的痛风,由于脑损害和功能障碍及躯体疾病引起的精神障碍,由于心理原因渲染的躯体症状
自身,39,药物性非自身免疫性溶血性贫血,自身免疫性溶血性贫血,自身免疫性溶血性贫血(温型),药物性自身免疫性溶血性贫血,自身免疫性溶血性贫血(冷型)
采取,39,仅为抗霍乱采取必要的免疫,仅为抗百日咳采取必要的免疫,为抗结核病采取必要的免疫,仅为抗破伤风采取必要的免疫,仅为抗伤寒-副伤寒采取必要的免疫
行为,39,脑血管病所致的人格和行为障碍,酒精所致的精神和行为障碍,一氧化碳中毒致人格和行为障碍,由于脑部疾病、损害和功能障碍引起的器质性人格和行为障碍,阿片类药所致的精神和行为障碍
必要,39,仅为抗霍乱采取必要的免疫,为抗结核病采取必要的免疫,未用必要的药物或药剂,仅为抗破伤风采取必要的免疫,仅为抗伤寒-副伤寒采取必要的免疫
不足,39,冠状动脉供血不足,慢性冠状动脉供血不足,视网膜动脉供血不足,急性冠状动脉供血不足,操作后血内胰岛素不足
并,38,伤寒并发腹膜炎,伤寒并发脑膜炎,伤寒并发肺炎,伤寒并发肠出血,伤寒并发肠穿孔
A,37,多发性骨髓瘤(IgAλ型),ALK阴性间变性大细胞淋巴瘤,A族链球菌败血症,ALK阳性间变性大细胞淋巴瘤,ALK+大B细胞淋巴瘤
致,36,家族性致死性睡眠症,新生儿肠致病性大肠杆菌肠炎,肠致病性大肠杆菌肠炎,白血病致肾小管间质疾患,白血病致肾小管间质疾患伴缓解
目前,36,"双相情感障碍,目前为轻度抑郁发作","双相情感障碍,目前为伴有精神病性症状的躁狂发作","双相情感障碍,目前为不伴有精神病性症状的躁狂发作","双相情感障碍,目前为不伴有躯体症状的轻度抑郁发作","双相情感障碍,目前为轻躁狂发作"
从,33,从运动场攀爬设施上跌落,从轮椅上跌落,从椅子上跌落,从床上跌落,从飞行器上跌落
半,33,半乳糖血症,同型半胱氨酸尿症,半乳糖激酶缺乏,半乳糖代谢紊乱,高同型半胱氨酸血症
及其,33,糖皮质激素类及其合成的类似物中毒,盐皮质激素类及其拮抗剂中毒,雄激素类及其促组成代谢的同类药中毒,铁及其化合物中毒,甲状腺激素及其衍生物中毒
经,32,神经性麻风,视神经结核,中枢神经系统结核,布氏杆菌多发性神经根神经病,麻风性神经病
三,31,三叉神经带状疱疹,带状疱疹后三叉神经痛,第三楔骨结核,病毒性肝炎三重感染(三重以上),病毒性肝炎三重感染(三重以上)(慢性轻度)
突出,31,眼球突出,角膜突出,颈椎间盘突出,胸椎间盘突出伴脊髓病,腰椎间盘突出伴脊髓病
跟,30,跟骨结核,足跟瘢痕,跟骨良性肿瘤,足跟感染性窦道,跟骨恶性肿瘤
者,30,饲鸽者肺,饲鸟者肺,游泳者耳病,翻晒干草者肺,绝对素食者的贫血
对,29,2型糖尿病性远端对称性周围神经病,普通变异型免疫缺陷伴对B或T细胞的自身抗体,相对性红细胞增多症,绝对素食者的贫血,1型糖尿病性远端对称性周围神经病
主要,28,主要组织相容性复合体一级缺乏,颌大小的主要畸形,主要为性传播模式的特指感染并发于妊娠、分娩和产褥期,主要组织相容性复合体二级缺乏,特指主要性传播疾病
广泛,26,"继发性肺结核(复治,广泛耐药)涂阴培阳","继发性肺结核(复治,广泛耐药)涂阳培阳","继发性肺结核(初治,广泛耐药)涂阳培阳","支气管结核(初治,广泛耐药)涂阳培阳","继发性肺结核(初治,广泛耐药)涂阴培阳"
正常,25,重症联合免疫缺陷伴低或正常数量的B细胞,正常压力脑积水,低压性青光眼[正常眼压性青光眼],甲状腺功能正常的病态综合征,正常钾型周期性瘫痪[正常血钾性周期性麻痹]
重复,24,肠重复,胃重复畸形,食管重复畸形,肠重复畸形,十二指肠重复畸形
同一,24,在同一平面上滑倒(家中),在同一平面上绊倒(家中),在同一平面上跌倒(家中),在同一平面上摔倒(家中),在同一平面上滑倒(居住的公共场所)
Ⅲ,24,Ⅲ度压疮,错合畸形安氏Ⅲ类,心功能Ⅱ--Ⅲ级(NYHA分级),错合畸形骨性Ⅲ类,子宫脱垂Ⅲ度
有,21,难治性贫血伴有转化中的原始细胞过多,吡哆醇有效性铁粒幼红细胞贫血,难治性贫血不伴有铁粒幼细胞,有害气体中毒后精神障碍,无丙球蛋白血症伴载有免疫球蛋白的B型淋巴细胞
带,21,声带结核,带状疱疹性脑膜脑炎,声带结核(细菌学和组织学证实),带状疱疹性脑炎,带状疱疹性神经根脊髓炎
造成,21,由于快速潜水造成高气压,动物咬伤或造成损伤,由于低氧症造成,机器造成的事故,人类免疫缺陷病毒[HIV]病造成特指细菌感染
％,20,身体体表30～39％烧伤,身体体表10～19％烧伤,身体体表40～49％烧伤,身体体表<10％烧伤,身体体表20～29％烧伤
巨大,20,巨大儿引起胎盆不称,巨大裂孔性视网膜脱离,窦组织细胞增多伴巨大淋巴结病[Rosai-Dorfman病],青春期巨大乳房,颅内巨大动脉瘤
为主,20,以妄想为主的急性精神病性障碍,"以妄想为主的急性精神病性障碍,不伴急性应激反应",淋巴细胞为主型霍奇金淋巴瘤,结节性淋巴细胞为主型霍奇金淋巴瘤,抗体缺陷为主的免疫缺陷
故意,19,用小口径步枪发射方式故意自害,在游泳池中用淹溺和沉没方式故意自害,用手枪发射方式故意自害,在自然水域中用淹溺和沉没方式故意自害,在浴室浴盆中用淹溺和沉没方式故意自害
再,18,骨髓再生不良性贫血,短暂后天性纯红细胞再生障碍性贫血,再生不良性贫血,伤寒再燃,慢性后天性纯红细胞再生障碍性贫血
等,18,"早产儿(孕期等于或大于28整周,但小于32整周)",后天性肢体长度不等,偏头痛性先兆[偏头痛等位症],"未成熟儿(孕期等于或大于24整周以上,但小于28整周)",等孢球虫病
常,17,骨髓异常增生综合征伴5q缺失,寻常性狼疮,常染色体显性遗传朊蛋白病,寻常疣,常现丝虫病
过,17,雅司病角化过度,过敏性紫癜(腹型),难治性贫血伴有转化中的原始细胞过多,过敏性紫癜,过敏性紫癜(关节型)
显著,17,普通变异型免疫缺陷伴显著的B细胞数量和功能异常,普通变异型免疫缺陷伴显著的免疫调节的T细胞疾患,伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多伴缓解,"轻度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗",伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多
人,17,人感染猪链球菌病,人粒细胞无形体病,人苍白杆菌菌血症,人类免疫缺陷病毒[HIV]相关的消瘦综合征,人毛滴虫病
不能,16,骨髓增生异常性/骨髓增殖性肿瘤(不能分型),慢性骨髓增殖性疾病(不能分型),不能分型的骨髓异常增生综合征,介于弥漫大B细胞淋巴瘤和经典霍奇金淋巴瘤之间B细胞淋巴瘤(不能分类),介于弥漫大B细胞淋巴瘤和伯基特淋巴瘤之间B细胞淋巴瘤(不能分类)
需要,16,"重度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","中度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","轻度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","极重度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗"
扩大,15,左房扩大,心室扩大,心房扩大,蝶鞍扩大,心脏扩大
仅,15,仅全面性强直-阵挛发作的癫痫,仅为抗霍乱采取必要的免疫,仅为抗伤寒-副伤寒采取必要的免疫,肺结核(仅痰培养证实),肺结核(仅痰涂片证实)
以,14,病毒性肝炎三重感染(三重以上)(慢性中度),病毒性肝炎三重感染(三重以上)(慢性重度),病毒性肝炎三重感染(三重以上)(慢性重型),病毒性肝炎三重感染(三重以上),病毒性肝炎三重感染(三重以上)(慢性轻度)
－,14,陶－宾综合征,冯.希佩尔－林道综合征,尼曼－皮克病,眼－耳廓发育不全,劳恩－加农－莱文综合征
儿,14,婴儿沙门菌肠炎,新生儿肠致病性大肠杆菌肠炎,新生儿肠出血性大肠杆菌肠炎,新生儿肠毒性大肠杆菌肠炎,新生儿肠侵袭性大肠杆菌肠炎
极,13,雷极普鲁菲登菌感染,极重度精神发育迟滞,极低密度脂蛋白型高脂蛋白血症,流行性乙型脑炎极重型,"极重度精神发育迟滞,无或轻微的行为缺陷"
以上,13,病毒性肝炎三重感染(三重以上)(慢性中度),病毒性肝炎三重感染(三重以上)(慢性重度),病毒性肝炎三重感染(三重以上)(慢性重型),病毒性肝炎三重感染(三重以上),病毒性肝炎三重感染(三重以上)(慢性轻度)
适应,13,适应障碍,"适应障碍,以其他情绪紊乱为主","适应障碍,长期的抑郁性反应","适应障碍,混合性焦虑和抑郁性反应","适应障碍,短暂抑郁性反应"
别人,13,被别人推倒(学校、其他机构等),被别人推倒(体育和运动场所),被别人推倒(居住的公共场所),被别人撞倒(居住的公共场所),被别人撞倒(学校、其他机构等)
成年,12,"成年型重症肌无力,轻度全身型","成年型重症肌无力,急性重症型","成年型重症肌无力,眼肌型",成年型GM2神经节苷脂贮积症,"成年型重症肌无力,中度全身型"
分期,12,多发性骨髓瘤(DS分期III期B组),多发性骨髓瘤(DS分期III期),多发性骨髓瘤(DS分期II期B组),多发性骨髓瘤(DS分期II期),多发性骨髓瘤(DS分期I期)
二,12,二期早发梅毒疹,二期梅毒湿疣,二期复发梅毒疹,二期梅毒疹,二期晚发梅毒疹
他,12,其他兴奋剂(包括咖啡因)戒断状态,其他兴奋剂(包括咖啡因)依赖综合征,其他兴奋剂急性中毒,其他兴奋剂(包括咖啡因)的有害使用,原发皮肤弥漫性大B细胞淋巴瘤(其他型)
严重,12,严重酒精中毒,严重急性呼吸综合征,严重腹痛伴腹部强直,严重营养不良,严重应激反应
纵,11,后纵隔恶性肿瘤,纵隔结核瘤,前纵隔恶性肿瘤,纵隔淋巴结结核,纵隔恶性肿瘤
白,11,扁桃体白喉,咽白喉,白喉性膜性喉炎,白喉性悬雍垂麻痹,鼻咽白喉
均,11,均小骨盆引起胎盆不称,支气管结核(细菌学和组织学证实均阴性),前不均倾引起的梗阻性分娩,肺结核(痰涂片及培养均证实),先天性肌纤维类型不均衡
能,11,垂体无功能良性肿瘤,慢性骨髓增殖性疾病(不能分型),不能分型的骨髓异常增生综合征,介于弥漫大B细胞淋巴瘤和经典霍奇金淋巴瘤之间B细胞淋巴瘤(不能分类),介于弥漫大B细胞淋巴瘤和伯基特淋巴瘤之间B细胞淋巴瘤(不能分类)
加以,11,"重度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","中度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","轻度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","极重度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗"
纯,11,单纯疱疹病毒性水疱皮炎,面部单纯疱疹,阴茎单纯性疱疹,唇部单纯疱疹,阴囊单纯性疱疹
企图,10,企图植入胚在胚胎转移中企图植入胚胎的并发症胎并发症,企图流产失败,试管内受精后企图植入受精卵的并发症,自杀企图史,企图流产失败并发生殖道和盆腔感染
进入,10,异物进入耳,异物进入眼,通过自然腔口进入的异物效应的后遗症,异物进入自然腔口,异物进入食道
使,10,大麻类物质的有害使用,可卡因的有害使用,镇静剂或催眠剂的有害使用,阿片类药有害使用,酒精的有害使用
而,9,特指急性而短暂的精神病性障碍,为体表不能接受的外貌而进行特指整形外科手术,因医生原因而未进行操作,由于信仰或群体压力而使病人决定不进行操作,急性而短暂的精神病性障碍
γ,9,γ重链病,皮肤γδT细胞淋巴瘤,γ重链病伴缓解,γ-球蛋白增高,原发皮肤γδT细胞淋巴瘤
全面,9,1型糖尿病性全面的水肿斑点性视网膜病,癫痫单纯部分性发作继发全面发作,癫痫复杂部分性发作继发全面发作,糖尿病性全面的水肿斑点性视网膜病,2型糖尿病性全面的水肿斑点性视网膜病
共同,8,急性共同性内斜视,共同动脉干,共同性斜视,共同性外斜视,共同性内斜视
某些,8,导致劳动能力丧失某些伤残和慢性疾病家族史,"多胎产,某些为活产",创伤某些早期并发症后遗症,血液和造血器官的其他疾病及涉及免疫机制的某些疾病并发于妊娠、分娩和产褥期,童年时某些发育障碍特殊筛查
尔,8,鼠疫菌病[耶尔森菌病],埃尔托生物型霍乱,巴尔通体病,肠外耶尔森菌病,耶尔森菌肠炎
4,7,急性粒单核细胞白血病(M4型),IgG4相关性疾病,原发皮肤CD4+小/中多形性T细胞淋巴瘤,甲状腺激素不敏感综合征[T4抵抗综合征],急性粒单核细胞白血病伴缓解(M4型)
因,7,外因性溶血性血红蛋白尿,先天性海因茨小体性贫血,外因性再生障碍性贫血,内因子缺乏引起的维生素B12缺乏性贫血,遗传性因子Ⅷ缺乏
确定,7,意图不确定的非交通的汽车和机动车辆的碰撞,意图不确定的非交通的汽车和固定物体的碰撞,意图不确定的交通的汽车和机动车辆的碰撞,意图不确定的非交通的机动车辆的碰撞,"原因不明的暴露于机动车辆的排除的气体中毒,意图不确定的"
5,7,骨髓异常增生综合征伴5q缺失,大脑前动脉远侧段(A2-A5)动脉瘤破裂伴蛛网膜下腔出血,急性单核细胞性白血病(M5型),5α还原酶缺乏(伴男性假两性同体),急性单核细胞性白血病伴缓解(M5型)
～,7,身体体表50～59％烧伤,身体体表30～39％烧伤,身体体表10～19％烧伤,身体体表40～49％烧伤,身体体表20～29％烧伤
开始,7,足月胎膜早破(在1-7天内产程开始),足月胎膜早破(在24小时之内产程开始),早产胎膜早破(在7天以后产程开始),早产胎膜早破(在1-7天内产程开始),早产胎膜早破(在24小时之内产程开始)
除外,7,"植物刺激性接触性皮炎,除外食物",植物刺激性接触性皮炎，除外食物,去除外固定装置,"腐蚀性物质,除外中毒",慢性淋巴结炎，除外肠系膜
适当,7,与家庭生活不适当有关的问题,促甲状腺激素不适当分泌综合征,与父母的不适当压力和其他异常性质的养育有关的问题,抗利尿激素不适当分泌综合征,与父母不适当压力和特指异常性质养育有关
决定,7,由于群体压力使病人决定不进行免疫,因信仰或群体压力使病人决定不进行操作,病人决定不进行免疫,由于信仰使病人决定不进行免疫,由于特指原因使病人决定不进行免疫
上下,7,上下颌前突畸形,上下腔静脉回流障碍综合征,在上下(市内有轨)电车时的人员损伤,左肺上下叶恶性肿瘤,先天性上下腔静脉狭窄
结果,7,周围神经系统检查异常结果,心血管功能检查异常结果,中枢神经系统功能检查异常结果,特殊感觉功能检查异常结果,肺功能检查异常结果
结合,7,良性非结合性胆红素血症[Gilbert综合征],椎动脉与基底动脉结合部动脉瘤,甲状腺结合球蛋白异常,椎动脉与基底动脉结合部动脉瘤破裂伴蛛网膜下腔出血,皮质醇结合球蛋白异常
大量,7,糖尿病性大量白蛋白尿,1型糖尿病性大量白蛋白尿,2型糖尿病性大量白蛋白尿,局灶性大脑挫伤伴大量出血,局灶性小脑挫伤伴大量出血
.,6,接触大黄蜂.小黄蜂,冯.希佩尔－林道综合征,A.P.C中毒致精神障碍,A.P.C药物成瘾,麻疹伴肠道并发症..
普通,6,流行性乙型脑炎普通型,普通变异型免疫缺陷伴显著的B细胞数量和功能异常,伤寒普通型,流行性脑脊髓膜炎普通型,普通易变型无丙球蛋白血症
复杂,6,复杂性偏头痛,癫痫复杂部分性发作继发全面发作,复杂性颜面水肿-面瘫-沟状舌综合征[梅尔克松-罗森塔尔综合征],癫痫复杂部分性发作,复杂部分性癫痫持续状态
一般,6,关于生育的一般性咨询和指导,一般性医学检查,一般精神科检查,累及一般感觉和知觉特指症状和体征,累及一般感觉和知觉症状和体征
由,6,由于枕头压迫导致窒息,由于脑部疾病、损害和功能障碍引起的器质性人格和行为障碍,由于肾功能损害引起的痛风,由于脑损害和功能障碍及躯体疾病引起的精神障碍,由于心理原因渲染的躯体症状
距,6,陈旧性踝距骨软骨损伤,距骨骨折不连接,距骨恶性肿瘤,距下关节骨性关节病,距骨良性肿瘤
第二,6,第二产程延长,幼年型第二跖骨骨软骨病,第二跖骨幼年型骨软骨病,第二性征发育不全,第二产程停滞
传,6,昆士兰蜱传斑点热,虱传回归热,蜱传斑点热,北亚蜱传斑点热,蜱传回归热
初,6,"继发性肺结核(初治,单耐药)涂阴培阳","继发性肺结核(初治,单耐药)涂阳培阳","继发性肺结核(初治,多耐药)涂阴培阳","继发性肺结核(初治,广泛耐药)涂阳培阳","继发性肺结核(初治,多耐药)涂阳培阳"
据说,6,与儿童据说受家族以外人员性虐待有关,与儿童据说受家族内成员的性虐待有关的问题,与儿童据说身体被虐待有关的问题,与儿童据说受家族内成员性虐待有关,与儿童据说受家族以外人员的性虐待有关问题
可,6,埃可病毒感染,可传播性海绵状脑病,埃可病毒性脑炎,埃可病毒性脑膜炎,1型糖尿病性前期可逆的肾病
移动,5,被移动物体压伤,异常步态和移动,用跳入或躺倒在移动物体前的方式故意自害,用将受害者推向或放置在移动物体前进行加害,特指异常步态和移动
随后,5,特指部位随后性心肌梗死,为随后治疗准备医疗,前壁随后性心肌梗死,下壁随后性心肌梗死,随后治疗的准备医疗
3,5,原发性皮肤CD30+间变性大细胞淋巴瘤,急性淋巴细胞白血病L3伴缓解,滤泡性非霍奇金淋巴瘤3级,急性淋巴细胞白血病L3,原发皮肤CD30+T细胞淋巴增殖性疾病
同,5,男性假两性同体伴雄激素抵抗,同种异质移植型卡波西肉瘤,同型半胱氨酸尿症,5α还原酶缺乏(伴男性假两性同体),高同型半胱氨酸血症
去,5,去痛药药物反应,持续性植物状态[大脑去皮质状态],去污剂刺激性接触性皮炎,去大脑强直,局部去污剂中毒
准备,5,为随后治疗准备医疗,透析准备性医疗,自体血准备,透析的准备性医疗,随后治疗的准备医疗
',5,Waardenburg's综合征,Schwartz's综合征,惠普尔病（Whipple's）,hellp's综合征,原因不明的'接触皮下的注射器及针
6,5,维生素B6综合征,葡萄糖-6-磷酸脱氢酶缺乏性贫血,急性红白血病伴缓解(M6型),维生素B6缺乏,急性红白血病(M6型)
但,5,"早产儿(孕期等于或大于28整周,但小于32整周)",急性乙型肝炎，不伴有δ因子(共同感染)，但伴有肝昏迷,急性乙型肝炎，伴有δ因子(共同感染)，但不伴有肝昏迷,"早产儿(孕期等于或大于32整周,但小于37整周)","未成熟儿(孕期等于或大于24整周以上,但小于28整周)"
