word,count,word1,word2,word3,word4,word5
必要,39,仅为抗伤寒-副伤寒采取必要的免疫,仅为抗破伤风采取必要的免疫,未用必要的药物或药剂,仅为抗霍乱采取必要的免疫,为抗结核病采取必要的免疫
行为,39,与归类在他处的障碍或疾病有关的心理和行为因素,"中度精神发育迟滞,无或轻微的行为缺陷","轻度精神发育迟滞,无或轻微的行为缺陷","轻度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","中度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗"
并,38,并殖吸虫病[肺吸虫病],1型糖尿病性酮症酸中毒和乳酸性酸中毒并昏迷,皮下组织并殖吸虫病,1型糖尿病性酮症酸中毒并昏迷,1型糖尿病性乳酸性酸中毒并昏迷
A,37,维生素A缺乏伴角膜干燥症,维生素A缺乏伴角膜溃疡和干燥症,A族链球菌败血症,维生素A缺乏伴结膜干燥症,维生素A缺乏伴比托斑点及结膜干燥症
目前,36,"双相情感障碍,目前为轻度抑郁发作","双相情感障碍,目前为轻躁狂发作","双相情感障碍,目前为伴有精神病性症状的躁狂发作","双相情感障碍,目前为不伴有躯体症状的轻度抑郁发作","双相情感障碍,目前为不伴有精神病性症状的躁狂发作"
致,36,一氧化碳中毒致人格和行为障碍,白血病致肾小管间质疾患伴缓解,白血病致肾小管间质疾患,A.P.C中毒致精神障碍,疾病致继发性铁粒幼细胞贫血
半,33,先天性髋关节半脱位,先天性桡骨小头半脱位,先天性双侧髋关节半脱位,先天性单侧髋关节半脱位,阵挛性半面痉挛
从,33,从飞行器上跌落,从轮椅上跌落,从椅子上跌落,从床上跌落,从运动场攀爬设施上跌落
及其,33,铁及其化合物中毒,雄激素类及其促组成代谢的同类药中毒,甲状腺激素及其衍生物中毒,糖皮质激素类及其合成的类似物中毒,盐皮质激素类及其拮抗剂中毒
经,32,经导管主动脉瓣植入术后再狭窄,经前期紧张综合征,有典型先兆的偏头痛[经典型偏头痛],经典型霍奇金淋巴瘤,经导管主动脉瓣植入术后关闭不全
三,31,脂酶(三酰基甘油脂酶)异常,新生儿三房室传导阻滞,三分支传导阻滞,三胎儿,三硝基甲苯性白内障
突出,31,胸椎间盘突出伴脊髓病,颈椎间盘突出,角膜突出,眼球突出,腰椎间盘突出伴脊髓病
者,30,海水浴者皮疹,习惯性流产者的妊娠,游泳者耳病,翻晒干草者肺,饲鸽者肺
跟,30,足跟瘢痕,足跟感染性窦道,跟骨良性肿瘤,跟骨恶性肿瘤,跟骨结核
对,29,手和对侧臂创伤性切断,原因不明的镇癫痫药、镇静-催眠剂、抗震颤麻痹药和对精神有影响的药物的中毒,手术对胎儿损害的孕产妇医疗,对半甲,对精神有影响的药物中毒
主要,28,主要组织相容性复合体一级缺乏,特指主要性传播疾病,主要组织相容性复合体二级缺乏,主要为性传播模式的特指感染并发于妊娠、分娩和产褥期,颌大小的主要畸形
广泛,26,"继发性肺结核(初治,广泛耐药)涂阴培阳","继发性肺结核(复治,广泛耐药)涂阴培阳","继发性肺结核(复治,广泛耐药)涂阳培阳","支气管结核(初治,广泛耐药)涂阳培阳","继发性肺结核(初治,广泛耐药)涂阳培阳"
正常,25,甲状腺功能正常的病态综合征,正常钾型周期性瘫痪[正常血钾性周期性麻痹],重症联合免疫缺陷伴低或正常数量的B细胞,低压性青光眼[正常眼压性青光眼],正常压力脑积水
同一,24,在同一平面上绊倒(家中),在同一平面上滑倒(居住的公共场所),在同一平面上摔倒(家中),在同一平面上滑倒(家中),在同一平面上跌倒(家中)
Ⅲ,24,错合畸形安氏Ⅲ类,子宫脱垂Ⅲ度,Ⅲ度压疮,错合畸形骨性Ⅲ类,心功能Ⅱ--Ⅲ级(NYHA分级)
重复,24,食管重复畸形,胃重复畸形,十二指肠重复畸形,肠重复,肠重复畸形
造成,21,由于低氧症造成,机器造成的事故,动物咬伤或造成损伤,由于快速潜水造成高气压,人类免疫缺陷病毒[HIV]病造成特指细菌感染
带,21,神经痛性肌萎缩[肩胛带神经炎],髂胫带综合征,喉室带恶性肿瘤,喉室带囊肿,分水岭脑梗死[边缘带脑梗死]
有,21,有髓鞘神经纤维,有先兆急性发作的偏头痛,有典型先兆的偏头痛[经典型偏头痛],有迁延性先兆的偏头痛,对精神有影响的药物中毒
巨大,20,巨大儿引起胎盆不称,青春期巨大乳房,巨大裂孔性视网膜脱离,窦组织细胞增多伴巨大淋巴结病[Rosai-Dorfman病],颅内巨大动脉瘤
为主,20,淋巴细胞为主型霍奇金淋巴瘤,以妄想为主的急性精神病性障碍,结节性淋巴细胞为主型霍奇金淋巴瘤,"以妄想为主的急性精神病性障碍,不伴急性应激反应",抗体缺陷为主的免疫缺陷
％,20,身体体表10～19％烧伤,身体体表30～39％烧伤,身体体表20～29％烧伤,身体体表<10％烧伤,身体体表40～49％烧伤
故意,19,用手枪发射方式故意自害,用小口径步枪发射方式故意自害,在游泳池中用淹溺和沉没方式故意自害,在浴室浴盆中用淹溺和沉没方式故意自害,在自然水域中用淹溺和沉没方式故意自害
等,18,在同一平面上绊倒(学校、其他机构等),后天性肢体长度不等,在同一平面上滑倒(学校、其他机构等),等孢球虫病,在同一平面上跌倒(学校、其他机构等)
再,18,急性下壁高侧壁正后壁再发心肌梗死,急性下壁正后壁再发心肌梗死,急性下后壁再发心肌梗死,急性正后壁再发心肌梗死,急性下壁侧壁正后壁再发心肌梗死
显著,17,伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多,普通变异型免疫缺陷伴显著的免疫调节的T细胞疾患,普通变异型免疫缺陷伴显著的B细胞数量和功能异常,伴环形铁粒幼红细胞的难治性贫血合并血小板显著增多伴缓解,"轻度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗"
人,17,人粒细胞无形体病,人乳头瘤病毒感染,人感染猪链球菌病,人苍白杆菌菌血症,人毛滴虫病
常,17,常染色体隐性无丙种球蛋白血症(瑞士型),常染色体隐性遗传性多囊肾病,常染色体显性遗传朊蛋白病,常染色体显性小脑共济失调,常染色体隐性遗传性共济失调
过,17,老年性白内障(过熟期),胰腺内分泌细胞增生伴胰升糖素过多,新生儿脐带过短,分娩伴脐带过短,阴道入口过紧
不能,16,骨髓增生异常性/骨髓增殖性肿瘤(不能分型),介于弥漫大B细胞淋巴瘤和经典霍奇金淋巴瘤之间B细胞淋巴瘤(不能分类),不能分型的骨髓异常增生综合征,介于弥漫大B细胞淋巴瘤和伯基特淋巴瘤之间B细胞淋巴瘤(不能分类),慢性骨髓增殖性疾病(不能分型)
需要,16,"精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","重度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","极重度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","轻度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","中度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗"
仅,15,肺结核(仅痰涂片证实),仅为抗伤寒-副伤寒采取必要的免疫,肺结核(仅痰培养证实),仅为抗霍乱采取必要的免疫,仅全面性强直-阵挛发作的癫痫
扩大,15,左房扩大,心房扩大,蝶鞍扩大,心室扩大,心脏扩大
以,14,以强迫性动作[强迫仪式]为主的强迫性障碍,"以妄想为主的急性精神病性障碍,伴急性应激反应",以妄想为主的急性精神病性障碍,"以妄想为主的急性精神病性障碍,不伴急性应激反应",以强迫思维或穷思竭虑为主的强迫性障碍
－,14,劳恩－加农－莱文综合征,陶－宾综合征,眼－耳廓发育不全,冯.希佩尔－林道综合征,尼曼－皮克病
儿,14,未成熟儿(孕期小于24整周),巨大儿引起胎盆不称,巨大儿引起的梗阻性分娩,超未成熟儿,妊娠合并巨大儿
以上,13,病毒性肝炎三重感染(三重以上)(慢性中度),病毒性肝炎三重感染(三重以上)(慢性重型),病毒性肝炎三重感染(三重以上),病毒性肝炎三重感染(三重以上)(慢性重度),病毒性肝炎三重感染(三重以上)(慢性轻度)
极,13,"极重度精神发育迟滞,无或轻微的行为缺陷",流行性乙型脑炎极重型,"极重度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗",极重度精神发育迟滞,极低密度脂蛋白型高脂蛋白血症
别人,13,被别人推倒(学校、其他机构等),被别人推倒(居住的公共场所),被别人撞倒(学校、其他机构等),被别人撞倒(居住的公共场所),被别人推倒(体育和运动场所)
适应,13,"适应障碍,长期的抑郁性反应",适应障碍,"适应障碍,混合性焦虑和抑郁性反应","适应障碍,短暂抑郁性反应","适应障碍,以其他情绪紊乱为主"
他,12,与归类在他处的障碍或疾病有关的心理和行为因素,复发性阿弗他溃疡,轻型阿弗他溃疡,疱疹样阿弗他溃疡,贝德纳尔阿弗他溃疡
二,12,"房间隔缺损,二孔型",还原型烟酰胺腺嘌呤二核苷酸-辅酶Q还原酶缺乏,第一、二鳃弓综合征[Goldenhar综合征],二头肌腱炎,亚氨基二苯乙烯类中毒
严重,12,严重急性呼吸综合征,严重应激反应,严重营养不良,严重酒精中毒,严重腹痛伴腹部强直
分期,12,多发性骨髓瘤(DS分期I期),多发性骨髓瘤(DS分期III期B组),多发性骨髓瘤(DS分期III期),多发性骨髓瘤(DS分期II期B组),多发性骨髓瘤(DS分期II期)
成年,12,"成年型重症肌无力,轻度全身型","成年型重症肌无力,急性重症型",成年型GM2神经节苷脂贮积症,"成年型重症肌无力,眼肌型","成年型重症肌无力,中度全身型"
纯,11,先天性纯红细胞再生障碍性贫血,短暂后天性纯红细胞再生障碍性贫血,纯红细胞再生障碍性贫血,慢性后天性纯红细胞再生障碍性贫血,纯性腺发育不全
纵,11,颈前纵韧带骨化,胸后纵韧带骨化,后纵韧带骨化,颈椎后纵韧带骨化,颈后纵韧带骨化
均,11,均小骨盆胎盆不称产妇医疗,肺结核(痰涂片及培养均证实),均小骨盆引起的梗阻性分娩,支气管结核(细菌学和组织学证实均阴性),均小骨盆引起胎盆不称
能,11,中枢作用和肾上腺素能-神经元-阻滞剂中毒,α肾上腺素能受体拮抗剂中毒,α肾上腺素能受体显效药中毒,β肾上腺素能受体显效药中毒,β肾上腺素能受体拮抗剂中毒
加以,11,"精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","重度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","极重度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","轻度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗","中度精神发育迟滞,显著的行为缺陷,需要加以关注或治疗"
白,11,糖尿病性大量白蛋白尿,白点状视网膜营养障碍,2型糖尿病性大量白蛋白尿,白睫毛,1型糖尿病性大量白蛋白尿
企图,10,企图流产失败,企图植入胚在胚胎转移中企图植入胚胎的并发症胎并发症,自杀企图史,企图流产失败并发生殖道和盆腔感染,试管内受精后企图植入受精卵的并发症
进入,10,异物进入食道,异物进入眼,异物进入耳,通过自然腔口进入的异物效应的后遗症,异物进入自然腔口
使,10,用啰唆和详细叙述语言使交往理由含糊不清,治疗使产程延迟的胎膜早破,因信仰或群体压力使病人决定不进行操作,与分居使家庭分裂有关的问题,与离婚使家庭分裂有关的问题
而,9,特指急性而短暂的精神病性障碍,由于信仰或群体压力而使病人决定不进行操作,因医生原因而未进行操作,为体表不能接受的外貌而进行特指整形外科手术,急性而短暂的精神病性障碍
全面,9,癫痫单纯部分性发作继发全面发作,1型糖尿病性全面的水肿斑点性视网膜病,癫痫复杂部分性发作继发全面发作,2型糖尿病性全面的水肿斑点性视网膜病,糖尿病性全面的水肿斑点性视网膜病
γ,9,γ重链病,γ-球蛋白增高,γ重链病伴缓解,皮肤γδT细胞淋巴瘤,原发皮肤γδT细胞淋巴瘤
某些,8,"多胎产,某些为活产",创伤某些早期并发症后遗症,血液和造血器官的其他疾病及涉及免疫机制的某些疾病并发于妊娠、分娩和产褥期,童年时某些发育障碍特殊筛查,导致劳动能力丧失某些伤残和慢性疾病家族史
尔,8,明科夫斯基-消法尔综合征[Minkowski-Chauffard综合征],瓦尔代尔扁桃体环恶性肿瘤,里格尔异常[Rieger异常],莱特尔综合征[Reiter病],贝德纳尔阿弗他溃疡
共同,8,急性乙型肝炎，伴有δ因子(共同感染)，并伴有肝昏迷,共同动脉干瓣膜关闭不全,急性乙型肝炎，伴有δ因子(共同感染)，但不伴有肝昏迷,急性乙型肝炎，不伴有δ因子(共同感染)，但伴有肝昏迷,共同动脉干
开始,7,早产胎膜早破(在24小时之内产程开始),早产胎膜早破(在7天以后产程开始),足月胎膜早破(在24小时之内产程开始),早产胎膜早破(在1-7天内产程开始),足月胎膜早破(在1-7天内产程开始)
上下,7,先天性上下腔静脉狭窄,在上下飞行器时的人员损伤,在上下(市内有轨)电车时的人员损伤,左肺上下叶恶性肿瘤,上下腔静脉回流障碍综合征
因,7,因病人家属原因未进行操作,因医生原因而未进行操作,因禁忌症未进行操作,因病人原因未进行操作,因信仰或群体压力使病人决定不进行操作
大量,7,局灶性大脑挫伤伴大量出血,糖尿病性大量白蛋白尿,2型糖尿病性大量白蛋白尿,局灶性小脑挫伤伴大量出血,1型糖尿病性大量白蛋白尿
4,7,慢性肾脏病4期,"慢性肾脏病,4期",痉挛4级,4-氨基苯酚衍生物中毒,二甲-4-羟色胺中毒
除外,7,"植物刺激性接触性皮炎,除外食物",去除外固定装置,植物刺激性接触性皮炎，除外食物,"腐蚀性物质,除外中毒",慢性淋巴结炎，除外肠系膜
～,7,身体体表30～39％烧伤,身体体表20～29％烧伤,身体体表10～19％烧伤,身体体表40～49％烧伤,身体体表50～59％烧伤
决定,7,由于信仰使病人决定不进行免疫,由于特指原因使病人决定不进行免疫,病人决定不进行免疫,因信仰或群体压力使病人决定不进行操作,由于群体压力使病人决定不进行免疫
确定,7,意图不确定的非交通的机动车辆的碰撞,意图不确定的非交通的汽车和固定物体的碰撞,意图不确定的交通的汽车和机动车辆的碰撞,"原因不明的暴露于机动车辆的排除的气体中毒,意图不确定的",意图不确定的非交通的汽车和机动车辆的碰撞
结合,7,皮质醇结合球蛋白异常,坐骨软骨结合,甲状腺结合球蛋白异常,结合齿,良性非结合性胆红素血症[Gilbert综合征]
适当,7,促甲状腺激素不适当分泌综合征,与家庭生活不适当有关的问题,与父母的不适当压力和其他异常性质的养育有关的问题,与父母不适当压力和特指异常性质养育有关,抗利尿激素不适当分泌综合征
5,7,孕5周,"慢性肾脏病,5期",5α还原酶缺乏(伴男性假两性同体),孕<5周,5α-还原酶缺陷症
结果,7,肺功能检查异常结果,中枢神经系统功能检查异常结果,特殊感觉功能检查异常结果,周围神经系统检查异常结果,心血管功能检查异常结果
初,6,初发型劳力性心绞痛,高龄初孕妇的妊娠监督,极年轻初孕妇的妊娠监督,劳力初发型心绞痛,初发性或维持性睡眠障碍[失眠症]
一般,6,有关避孕一般咨询和指导,累及一般感觉和知觉特指症状和体征,接受权威机构要求的一般精神科检查,一般精神科检查,累及一般感觉和知觉症状和体征
.,6,A.P.C药物成瘾,冯.希佩尔－林道综合征,A.P.C中毒致精神障碍,接触大黄蜂.小黄蜂
传,6,北亚蜱传斑点热,昆士兰蜱传斑点热,蜱传斑点热,蜱传病毒性脑炎,蜱传回归热
距,6,踝距腓前韧带断裂,先天性眶距增宽症,眶距增宽症,胫距关节脱位
复杂,6,局部相关性(局灶性)(部分)症状性癫痫和伴有复杂部分发作的癫痫综合征,会阴-阴道复杂裂伤,癫痫复杂部分性发作继发全面发作,复杂部分性癫痫持续状态,癫痫复杂部分性发作
据说,6,与儿童据说受家族内成员性虐待有关,与儿童据说受家族以外人员的性虐待有关问题,与儿童据说受家族以外人员性虐待有关,与儿童据说身体被虐待有关的问题,与儿童据说受家族内成员的性虐待有关的问题
普通,6,普通变异型免疫缺陷病,普通变异型免疫缺陷伴显著的免疫调节的T细胞疾患,普通变异型免疫缺陷伴显著的B细胞数量和功能异常,普通变异型免疫缺陷伴对B或T细胞的自身抗体,普通易变型无丙球蛋白血症
第二,6,第二产程延长,第二颈椎骨折,第二产程停滞,第二跖骨幼年型骨软骨病,幼年型第二跖骨骨软骨病
由,6,由疾病继发性铁粒幼细胞贫血,由鼻进入呼吸道引起气闷,由自然和环境因素引起的事故的晚期效应,由鼻进入呼吸道引起气管受压,灾难性暴风雨和由它们引起的洪水
可,6,可遗传性肺动脉高压,可传播性海绵状脑病,先天性可回缩睾丸,依赖特指可启动机器和装置,绝经后卵巢可扪及综合征
移动,5,特指异常步态和移动,异常步态和移动,用跳入或躺倒在移动物体前的方式故意自害,用将受害者推向或放置在移动物体前进行加害,被移动物体压伤
3,5,痉挛3级,慢性肾脏病3期,高血压3级,滤泡性非霍奇金淋巴瘤3级,"慢性肾脏病,3期"
6,5,葡萄糖-6-磷酸脱氢酶缺乏性贫血,孕6周,"果糖-1,6-二磷酸缺乏",葡萄糖-6-磷酸酶缺乏
但,5,"早产儿(孕期等于或大于32整周,但小于37整周)","早产儿(孕期等于或大于28整周,但小于32整周)",急性乙型肝炎，伴有δ因子(共同感染)，但不伴有肝昏迷,急性乙型肝炎，不伴有δ因子(共同感染)，但伴有肝昏迷,"未成熟儿(孕期等于或大于24整周以上,但小于28整周)"
应用,5,真空吸引器和产钳应用失败,适当应用正确药物或药剂的有害效应引起的过敏性休克,真空吸引器应用失败,牙科药物中毒，局部应用,产钳应用失败
',5,Waardenburg's综合征,hellp's综合征,原因不明的'接触皮下的注射器及针,Schwartz's综合征,惠普尔病（Whipple's）
