online,icd1,icd2,icd3,icd4,icd5
颅内静脉非脓性血栓形成,化脓性颅内静脉窦血栓形成,静脉血栓形成,肠系膜上静脉血栓形成,非化脓性颅内静脉血栓形成,非化脓性颅内静脉窦血栓形成
镇静剂或催眠剂伴有谵妄的戒断状态,伴有谵妄的镇静剂或催眠剂戒断状态,镇静剂或催眠剂所致的精神和行为障碍,伴有谵妄的咖啡因戒断状态,伴有谵妄的挥发性溶剂戒断状态,伴有谵妄的阿片类药戒断状态
先天性肺发育异常,先天性肺动脉发育异常,先天性上肢骨发育异常,先天性发育异常,肺发育未成熟,先天性小肠发育异常
播散性疱疹病毒病,播散性曲霉菌病,非丝虫性象皮病,同心圆性硬化[Balo病],急进性肾小球病,单纯疱疹病毒性脑膜炎
特指滑膜炎和腱鞘炎,结核性滑膜炎,结核性腱鞘炎,髋关节一过性滑膜炎,喉软骨膜炎,类风湿性肘关节炎
胸内淋巴结结核，细菌学（+）,淋巴结结核,周围淋巴结结核,颌下淋巴结结核,胸壁淋巴结结核,肺门淋巴结结核(细菌学和组织学证实)
胸胃瘘,盲管瘘,鳃裂瘘,脐肠瘘,下颌下腺瘘,唾液腺瘘
多发性颅神经损害,腓总神经损害,多发性脑神经损害,足底神经损害,多处神经损伤,肋间神经损伤
特指形式利斯特菌病,用大口径步枪发射方式故意自害,用手枪发射方式故意自害,用小口径步枪发射方式故意自害,用散弹猎枪发射方式故意自害,在浴室浴盆中用淹溺和沉没方式故意自害
排尿里急后重,掉进室外热水浴盆中淹溺和沉没,喘憋,掉进室内热水浴盆中淹溺和沉没,掉进室外浴缸中淹溺和沉没,掉进室外温泉澡盆中淹溺和沉没
麦克尔憩息良性肿瘤,犁骨良性肿瘤,嗅球良性肿瘤,颈丛良性肿瘤,唇红缘良性肿瘤,咽旁间隙良性肿瘤
慢性查加斯病累及心脏,慢性肾小球病,慢性心脏瓣膜炎,心脏淀粉样变性,急性肾小球病,慢性恰加斯病
泌尿道梗阻,中脑导水管梗阻,尿路梗阻,先天性泌尿道梗阻,胃石伴梗阻,胃肠吻合术后输入袢梗阻
膈结缔组织良性肿瘤,膈良性肿瘤,膈下良性肿瘤,膈部周围神经和自主神经良性肿瘤,膈部周围神经和自主神经恶性肿瘤,膈缺如
嵌顿性闭孔疝,腹嵌顿疝,坏疽性腹疝,坏疽性膈疝,蝶骨嵴疝,腰肌疝
特指类鼻疽,腐蚀性芳香类,类天花,吡唑衍生物类,恶唑烷衍生物类,含铅油漆类
嗜酸细胞性肉芽肿,嗜酸细胞性脑膜炎,嗜酸细胞性白血病,多形细胞性网状细胞肉瘤,嗜碱细胞性白血病,面部皮肤嗜酸性细胞增生性淋巴肉芽肿
遗传性淋巴水肿,先天性淋巴水肿,遗传性血管神经性水肿,淋巴丝虫病,流行性水肿,持续性全身淋巴结肿大综合征
为抗特指单一传染病采取必要免疫,为抗结核病采取必要的免疫,为抗特指的单一的病毒性疾病采取必要的免疫,体液免疫缺陷,为抗单一的细菌性疾病采取必要的免疫,免疫缺陷
疱疹病毒性脑炎,单纯疱疹病毒性脑炎,风疹性脑炎,军团菌性脑炎,单纯疱疹病毒性脑膜炎,埃可病毒性脑炎
过度打击手,换气过度,活动过度,妊娠期体重增加过度,热能过度性肥胖,过度用力
下肢多处裂伤,下肢浅表擦伤,下肢多处扭伤,下肢干性坏疽,下肢湿性坏疽,下肢坏疽
特指分支传导阻滞,束支传导阻滞,左束支半传导阻滞,三度房室传导阻滞,二度房室传导阻滞,高度房室传导阻滞
开放性肋骨骨折,四根以上肋骨骨折不伴第一肋骨骨折,两根肋骨骨折不伴第一肋骨骨折,肋骨多发性骨折,锁骨胸骨端骨折,三根肋骨骨折不伴第一肋骨骨折
胃静脉曲张,胃十二指肠动脉瘤,胃食管反流,后天性胃部分缺失,胃胀气,胃十二指肠假性动脉瘤
贲门糜烂,子宫颈糜烂,贲门口糜烂,十二指肠球部溃疡,小肠黏膜糜烂,十二指肠糜烂出血
泪腺炎性假瘤,出血性麻疹,产褥期膀胱炎,阿米巴膀胱炎,异型麻疹,霍乱中型
嗜酸性淋巴肉芽肿,嗜酸性肉芽肿,面部皮肤嗜酸性粒细胞增生性淋巴肉芽肿,面部皮肤嗜酸性肉芽肿,面部皮肤嗜酸性细胞增生性淋巴肉芽肿,嗜酸性肉芽肿性血管炎
第一二腮弓发育不良,先天性环椎后弓肥大,局灶性皮层发育不良,先天性齿状突发育不良,子宫颈发育不良,先天性乳房发育不良
急性乙型肝炎，不伴有δ因子(共同感染)，也不伴有肝昏迷急性乙型病毒性肝炎,病毒性肝炎乙型急性无黄疸型,病毒性肝炎乙型急性黄疸型,病毒性肝炎丙型急性淤疸型,病毒性肝炎乙型丁型急性无黄疸型,病毒性肝炎乙型丁型急性黄疸型
黑水热,西尼罗热,南欧斑疹热[纽扣热],流行性粟疹热,用蒸气、热气和热物体进行加害,热体性烧伤
急性ST段抬高型高侧壁心肌梗塞,急性ST段抬高型心肌梗死,急性非ST段抬高型心肌梗死,陈旧性非ST段抬高性心肌梗死,急性前壁高侧壁下壁心肌梗死,急性广泛前壁下壁高侧壁心肌梗死
创伤性空肠破裂,空肠破裂,十二指肠破裂,回肠破裂,扩张器破裂,结肠破裂
创伤性骨筋膜室综合征,下肢骨筋膜室综合征,筋膜室综合征,上肢骨筋膜室综合征,距骨幼年型骨软骨病,髌骨初级骨化中心幼年型骨软骨病
恶性淋巴瘤个人史,恶性黑色素瘤史,恶性畸胎瘤史,淋巴瘤史,子宫颈恶性肿瘤史,口底恶性肿瘤史
增生性玻璃体视网膜病伴视网膜脱离,增生性玻璃体-视网膜病伴视网膜脱离,黄斑裂孔性视网膜脱离,巨大裂孔性视网膜脱离,牵拉性视网膜脱离,视网膜网状变性
产褥期特指静脉并发症,永久性右脐静脉,动脉移植物引起的机械性并发症,下腔静脉良性肿瘤,泌尿器官移植物引起的机械性并发症,肢骨内固定装置引起的机械性并发症
特指强迫性障碍,社会化的品行障碍,"适应障碍,以品行障碍为主",双重人格障碍,骨内固定装置障碍,多重人格障碍
巨耳畸形,少牙畸形,畸形中央尖,方颏畸形,错合畸形,多睾畸形
腹膜后肉芽肿,腹膜后肉芽肿性病变,网膜肉芽肿性炎,腹膜壁层间皮瘤,腹膜后间皮瘤,环形肉芽肿
母体心肌病新生儿,新生儿心肌炎,新生儿尿毒症,新生儿代谢性酸中毒,新生儿肺气肿,新生儿肺水肿
1型糖尿病性足病,1型糖尿病性大疱症,2型糖尿病性大疱症,暴发性1型糖尿病,1型糖尿病性胃轻瘫,2型糖尿病性胃轻瘫
肺出血肾炎综合征相关肾小球肾炎,"肾炎综合征,弥漫性膜性肾小球肾炎",肾病综合征伴膜性肾小球肾炎,肾炎综合征,"急进型肾炎综合征,弥漫性膜性肾小球肾炎",肾病综合征伴膜增值性肾小球肾炎
肾炎综合征，密集沉积物病	,"急进型肾炎综合征,密集沉积物病",肾病综合征伴膜增值性肾小球肾炎,"急进型肾炎综合征,弥漫性膜性肾小球肾炎",肾病综合征伴增殖性肾小球肾炎,肺出血肾炎综合征[Goodpasture综合征]
急性丁型病毒性肝炎,病毒性肝炎急性淤胆型,病毒性肝炎急性黄疸型,病毒性肝炎急性无黄疸型,病毒性肝炎丙型急性无黄疸型,病毒性肝炎丙型急性黄疸型
艾滋病,艾滋病伴卡波西肉瘤,生殖器梅毒,梅毒性肌炎,艾滋病伴伯基特淋巴瘤,产褥期梅毒
手特指部位扭伤,腕和手擦伤,后天性手屈曲变形,腕和手多处开放性损伤,腕和手拇指伸肌损伤,腕和手多处伸肌和肌腱损伤
膀胱神经肌肉功能不良,神经源性肠道功能障碍,神经源性膀胱过度活动症,神经源性射精功能障碍,股神经损伤,髋部股神经损伤
特指入脑前动脉闭塞和狭窄,多个入脑前动脉闭塞和狭窄,前交通动脉狭窄,入脑前动脉未特指的闭塞或狭窄引起的脑梗死,前交通动脉闭塞,脉络膜前动脉夹层
气管脱位,胸部气管脱位,气管挫伤,气管憩室,气管脂肪瘤,气管支气管肥大症
大脑肿瘤,桥脑脑膜瘤,小脑幕下恶性肿瘤,岩骨脑膜瘤,小脑幕上恶性肿瘤,鞍隔脑膜瘤
镇静剂或催眠剂特指精神和行为障碍,镇静剂或催眠剂所致的精神和行为障碍,伴有谵妄的镇静剂或催眠剂戒断状态,镇静剂或催眠剂所致的精神病性障碍,阿片类药所致的精神和行为障碍,镇静剂或催眠剂的有害使用
颅脑神经损伤伴颈水平神经和脊髓损伤,脑神经损伤伴颈神经和脊髓损伤,多处神经和脊髓损伤,胫后神经损伤,胫神经损伤,腓总神经损伤
冈上肌撕裂,眼外肌断裂,肱三头肌肌腱损伤,前臂指屈肌和肌腱损伤,腕部指伸肌和肌腱损伤,腕部指屈肌和肌腱损伤
特指形式类丹毒,类丹毒败血症,类鼻疽败血症,Brusting-Perrry类天疱疮,植物类养料和肥料进行加害,腐蚀性芳香类
皮肤真菌感染,呼吸道真菌感染,肝脏真菌感染,阴茎皮肤化脓性感染,肛周感染,头皮感染
乳房诊断性影像检查异常所见,乳房诊断性影像异常,头部诊断性检查异常,腹部诊断性影像异常,皮下组织诊断性影像异常,颅骨诊断性检查异常
幻肢综合征不伴疼痛,慢性疼痛,肩胛上卡压综合征,梅热睑痉挛[Meige综合征],椎间盘源性腰痛,神经痛性肌萎缩[肩胛带神经炎]
化疗泵植入感染,腹腔化疗泵外露,植入装置后感染,腹膜透析导管隧道感染,腹膜透析导管外口感染,植入受精卵并发症
慢性食管旁淋巴结炎,系统性硬化症累及食管,慢性肠系膜淋巴结炎,贲门食管连接部继发恶性肿瘤,慢性输尿管炎,胃食管连接部继发恶性肿瘤
声带结节,歌手结节,冲浪运动员结节,结节线虫病,坐骨结节囊肿,结节样胶样变性
急性无黄疸型乙型肝炎伴肝昏迷,产褥期急性肾衰竭,急性化学性肺水肿,急性驰缓性截瘫,急性肺水肿,氯胺酮急性中毒
母体甲状腺机能减退新生儿,新生儿甲状腺毒症,新生儿甲状腺功能减退症,新生儿甲状腺功能亢进症,甲状腺错构瘤,异位甲状腺组织的甲状腺毒症
直肠阴道隔结缔组织动态未定肿瘤,直肠阴道隔良性肿瘤,直肠阴道隔周围神经和自主神经良性肿瘤,直肠阴道隔周围神经和自主神经交界性肿瘤,直肠阴道隔周围神经和自主神经恶性肿瘤,直肠膀胱隔良性肿瘤
气管套管脱出,气管套管拔除,插管引起的气管内出血,气管憩室,气管挫伤,气管烧伤
胃酸过多,反酸,嗳气,糜烂性食管炎,胃胀气,胃食管反流
先天性颌动瞬目综合征,先天性直背综合征,先天性肌无力综合征,先天性眼外肌纤维化综合征,先天性舞蹈病,混合型虐待综合征
肥胖症,局部性肥胖症,成人迟发自身免疫性糖尿病,小脑幕裂孔疝[小脑幕切迹疝],小脑幕孔上升疝,成人晚发自身免疫性糖尿病酮症
唇裂术后畸形整形,唇裂术后整形,唇腭裂术后整形,颌面术后整形,开颅术后骨瓣凹陷整形,耳术后整形
野火型天疱疮,寻常型鱼鳞病,猩红热脓毒型,1型糖尿病足,2型糖尿病足,幼年型下肢骨软骨病
耻骨黑素细胞痣,甲下痣,皮脂腺痣,痣,小阴唇血管瘤,先天性疣状痣
术后免疫治疗,骨髓移植术后,恶性肿瘤术后免疫治疗,绝育术后复通,人工关节术后,恶性肿瘤术后化疗
输卵管再通术后妊娠监督,输卵管绝育术后复通,输卵管术后,输卵管伞部妊娠破裂,多胎妊娠减胎术后,妊娠合并输卵管扭转
肝下脓肿,眼眦脓肿,脓肿,布罗迪脓肿,考珀腺脓肿,利特雷腺脓肿
创伤性肠破裂,结肠破裂,缺血性肠坏死,小肠破裂,直肠破裂,回肠破裂
特指不明确部位的恶性肿瘤,多部位原发恶性肿瘤,多部位继发恶性肿瘤,原发部位不明恶性肿瘤,多部位淋巴结继发恶性肿瘤,大脑皮层多处恶性肿瘤
膝外侧半月板损伤,膝外侧半月板伴十字韧带损伤,膝内侧半月板伴十字韧带损伤,膝外侧半月板撕裂,膝外侧半月板伴副韧带损伤,膝半月板撕裂
外阴交搭跨越恶性肿瘤,阴道及外阴恶性肿瘤,外阴错构瘤,会阴恶性肿瘤,外阴上皮内瘤样变,子宫颈及阴道恶性肿瘤
后天性冠状动脉动静脉瘘,冠状动脉动静脉瘘,冠状动脉瘘,冠状动脉右室瘘,心导管造影术后动静脉瘘,冠状动脉左房瘘
