mc,bm
利斯特菌性脑膜炎和脑膜脑炎,A32.100+
利斯特菌性脑膜炎,A32.101+
利斯特菌性脑膜脑炎,A32.102+
利斯特菌败血症,A32.700
单核细胞增多性利斯特菌败血症,A32.701
特指形式利斯特菌病,A32.800
利斯特菌性大脑动脉炎,A32.801+
利斯特菌性心内膜炎,A32.802+
眼腺利斯特菌病,A32.803
利斯特菌病,A32.900
新生儿破伤风,A33.x00
产科破伤风,A34.x00
特指破伤风,A35.x00
咽白喉,A36.000
鼻咽白喉,A36.100
喉白喉,A36.200
白喉性喉气管炎,A36.201
皮肤白喉,A36.300
特指白喉,A36.800
白喉性结膜炎,A36.801+
白喉性心肌炎,A36.802+
白喉性多神经炎,A36.803+
白喉,A36.900
百日咳博德特杆菌性百日咳,A37.000
副百日咳博德特杆菌性百日咳,A37.100
特指博德特杆菌属性百日咳,A37.800
百日咳,A37.900
百日咳肺炎,A37.901+
猩红热,A38.x00
脑膜炎球菌性脑膜炎,A39.000+
普通型流行性脑脊髓膜炎,A39.001+
暴发型流行性脑脊髓膜炎,A39.002+
流行性脑脊髓膜炎,A39.003+
流行性脑膜炎,A39.004+
沃-弗综合征,A39.100+
急性脑膜炎球菌血症,A39.200
慢性脑膜炎球菌血症,A39.300
脑膜炎球菌败血症,A39.400
脑膜炎球菌性心脏病,A39.500+
特指脑膜炎球菌感染,A39.800
脑膜炎球菌感染,A39.900
A族链球菌性败血症,A40.000
B族链球菌性败血症,A40.100
D族链球菌性败血症,A40.200
肺炎链球菌性败血症,A40.300
特指链球菌性败血症,A40.800
链球菌败血症,A40.900
金黄色葡萄球菌败血症,A41.000
特指葡萄球菌性败血症,A41.100
凝固酶阴性葡萄球菌败血症,A41.101
葡萄球菌败血症,A41.200
流感嗜血杆菌败血症,A41.300
厌氧菌败血症,A41.400
革兰阴性病原体败血症,A41.500
大肠杆菌败血症,A41.501
绿脓杆菌败血症,A41.502
克雷伯杆菌败血症,A41.503
粘球杆菌败血症,A41.504
阴沟肠杆菌败血症,A41.505
变形杆菌败血症,A41.506
不动杆菌属性败血症,A41.507
特指败血症,A41.800
枯草杆菌败血症,A41.801
类酵母菌败血症,A41.802
新型隐球菌败血症,A41.803
真菌败血症,A41.804
革兰阳性菌败血症,A41.805
微球菌属性败血症,A41.806
败血症,A41.900
脓毒血症,A41.901
肺放线菌病,A42.000
腹放线菌病,A42.100
颈面部放线菌病,A42.200
放线菌病性败血症,A42.700
特指形式放线菌病,A42.800
涎腺放线菌病,A42.801
乳腺放线菌病,A42.802
肝放线菌病,A42.803
盆腔放线菌病,A42.804
阴道放线菌病,A42.805
放线菌病,A42.900
肺诺卡菌病,A43.000+
皮肤诺卡菌病,A43.100
特指形式诺卡菌病,A43.800
脑诺卡菌病,A43.801
肾诺卡菌病,A43.802
诺卡菌病,A43.900
播散性诺卡菌病,A43.901
全身性巴尔通体病,A44.000
皮肤和粘膜皮肤巴尔通体病,A44.100
特指形式巴尔通体病,A44.800
巴尔通体病,A44.900
丹毒,A46.x00
气性坏疽,A48.000
军团病,A48.100
非肺炎性军团病,A48.200
中毒性休克综合征,A48.300
巴西紫热,A48.400
特指细菌性疾病,A48.800
鼻硬结病,A48.801
葡萄球菌感染,A49.000
葡萄球菌感染性菌血症,A49.001
耐甲氧西林金黄色葡萄球菌感染,A49.002
耐甲氧西林凝固酶阴性葡萄球菌感染,A49.003
甲氧西林敏感金黄色葡萄球菌感染,A49.004
链球菌感染,A49.100
链球菌感染性菌血症,A49.101
肺炎球菌感染,A49.102
链球菌感染综合征,A49.103
流感嗜血杆菌感染,A49.200
流感嗜血杆菌感染性菌血症,A49.201
支原体感染,A49.300
支原体菌属感染性菌血症,A49.301
特指细菌性感染,A49.800
大肠杆菌感染，未指明部位,A49.801
肺炎杆菌感染,A49.802
不动杆菌感染性菌血症,A49.803
变形杆菌感染,A49.804
克雷伯杆菌感染,A49.805
肠杆菌感染性菌血症,A49.806
沙雷菌感染,A49.807
雷极普鲁菲登菌感染,A49.808
幽门螺旋杆菌感染,A49.809
阴沟肠杆菌感染,A49.810
嗜麦芽窄食单胞菌感染性菌血症,A49.811
鲍曼不动杆菌感染,A49.812
克雷伯杆菌感染性菌血症,A49.813
铜绿假单胞菌感染,A49.814
肺炎克雷伯杆菌感染,A49.815
屎肠球菌感染,A49.816
气球菌感染,A49.817
细菌性感染,A49.900
菌血症,A49.901
革兰阴性杆菌感染,A49.902
有症状早期先天性梅毒,A50.000
潜伏性早期先天性梅毒,A50.100
早期先天性梅毒,A50.200
晚期先天性梅毒性眼病,A50.300+
梅毒性角膜炎,A50.301+
晚期先天性神经梅毒,A50.400
幼年型麻痹性痴呆,A50.401
先天性梅毒性脑膜炎,A50.402+
有症状特指晚期先天性梅毒,A50.500
哈钦森牙,A50.501
潜伏性晚期先天性梅毒,A50.600
晚期先天性梅毒,A50.700
先天性梅毒,A50.900
初期生殖器梅毒,A51.000
阴茎下疳,A51.001
一期梅毒,A51.002
初期肛门梅毒,A51.100
特指部位初期梅毒,A51.200
唇下疳,A51.201
皮肤和粘膜二期梅毒,A51.300
皮肤二期梅毒,A51.301
粘膜二期梅毒,A51.302
皮肤梅毒,A51.303
外阴扁平湿疣,A51.304
特指二期梅毒,A51.400
二期梅毒性脑膜炎,A51.401+
二期梅毒性葡萄膜炎,A51.402+
早期梅毒性视网膜炎,A51.403+
潜伏性早期梅毒,A51.500
早期梅毒,A51.900
心血管梅毒,A52.000+
梅毒性大脑动脉炎,A52.001+
梅毒性主动脉炎,A52.002+
梅毒性主动脉动脉瘤,A52.003+
梅毒性主动脉瓣关闭不全,A52.004+
梅毒性心脏病,A52.005+
梅毒性心内膜炎,A52.006+
梅毒性心肌炎,A52.007+
梅毒性心包炎,A52.008+
梅毒性肺动脉反流,A52.009+
有症状性神经梅毒,A52.100
脊髓痨,A52.101
阿-罗氏瞳孔,A52.102+
夏科关节病,A52.103+
麻痹性痴呆,A52.104+
三期梅毒性脑膜炎,A52.105+
无症状性神经梅毒,A52.200
神经梅毒,A52.300
特指有症状性晚期梅毒,A52.700
三期梅毒性葡萄膜炎,A52.701+
三期梅毒性视网膜炎,A52.702+
梅毒性喉炎,A52.703+
肺梅毒,A52.704+
梅毒性肝硬化,A52.705+
梅毒性关节病,A52.706+
潜伏性晚期梅毒,A52.800
潜伏性三期梅毒,A52.801
晚期梅毒,A52.900
潜伏性梅毒,A53.000
梅毒,A53.900
下泌尿生殖道淋球菌感染,A54.000
淋球菌性膀胱炎,A54.001
淋球菌性尿道炎,A54.002
淋球菌性宫颈炎,A54.003
淋球菌性阴道炎,A54.004
淋球菌性外阴阴道炎,A54.005
下泌尿生殖道淋球菌感染伴尿道周脓肿和副腺脓肿,A54.100
淋球菌性前庭大腺脓肿,A54.102
淋球菌性盆腔腹膜炎和特指泌尿生殖道淋球菌感染,A54.200
淋球菌性女性盆腔炎性疾病,A54.201+
淋球菌性前列腺炎,A54.202+
淋球菌性睾丸炎,A54.203+
淋球菌性附睾炎,A54.204+
眼淋球菌感染,A54.300
淋球菌性新生儿眼炎,A54.301+
淋球菌性结膜炎,A54.302+
淋球菌性虹膜睫状体炎,A54.303+
肌肉骨骼系统淋球菌感染,A54.400
淋球菌性关节炎,A54.401+
淋球菌性滑囊炎,A54.402+
淋球菌性骨髓炎,A54.403+
淋球菌性滑膜炎,A54.404+
淋球菌性腱鞘炎,A54.405+
淋球菌性咽炎,A54.500
肛门和直肠淋球菌感染,A54.600
直肠淋球菌感染,A54.601
肛门淋球菌感染,A54.602
特指淋球菌感染,A54.800
淋球菌感染,A54.900
衣原体性淋巴肉芽肿,A55.x00
下泌尿生殖道衣原体感染,A56.000
衣原体性膀胱炎,A56.001
衣原体性宫颈炎,A56.002
衣原体性阴道炎,A56.003
衣原体性外阴阴道炎,A56.004
盆腔腹膜和特指泌尿生殖器官的衣原体感染,A56.100
衣原体性女性盆腔炎性疾病,A56.101+
衣原体性睾丸炎,A56.102+
衣原体性附睾炎,A56.103+
衣原体盆腔腹膜感染,A56.104+
泌尿生殖道衣原体感染,A56.200
肛门和直肠衣原体感染,A56.300
直肠衣原体感染,A56.301
古典生物型霍乱,A00.000
埃尔托型霍乱,A00.100
霍乱,A00.900
伤寒,A01.000
伤寒性肝炎,A01.001+
伤寒性脑膜炎,A01.002+
副伤寒甲,A01.100
副伤寒乙,A01.200
副伤寒丙,A01.300
副伤寒,A01.400
沙门菌肠炎,A02.000
阿哥拉沙门菌肠炎,A02.001
沙门菌伦敦血清型肠炎,A02.002
沙门菌胃肠炎,A02.003
鼠伤寒沙门菌肠炎,A02.004
沙门菌败血症,A02.100
猪霍乱沙门菌败血症,A02.101
局限性沙门菌感染,A02.200
沙门菌肺炎,A02.201+
沙门菌关节炎,A02.202+
沙门菌脑膜炎,A02.203+
特指沙门菌感染,A02.800
沙门菌感染,A02.900
猪霍乱沙门菌感染,A02.901
志贺痢疾杆菌引起细菌性痢疾,A03.000
弗氏志贺菌引起细菌性痢疾,A03.100
波氏志贺菌引起细菌性痢疾,A03.200
宋内志贺菌引起细菌性痢疾,A03.300
特指细菌性痢疾,A03.800
细菌性痢疾,A03.900
急性细菌性痢疾,A03.901
慢性迁延型细菌性痢疾,A03.902
慢性细菌性痢疾,A03.903
中毒型细菌性痢疾,A03.904
肠道病原性大肠杆菌感染,A04.000
肠毒性大肠杆菌感染,A04.100
肠侵袭性大肠杆菌感染,A04.200
肠出血性大肠杆菌感染,A04.300
新生儿肠出血性大肠杆菌肠炎,A04.301
特指肠道大肠杆菌感染,A04.400
大肠杆菌性肠炎,A04.401
新生儿大肠杆菌肠炎,A04.402
弯曲菌肠炎,A04.500
小肠结肠耶尔森菌性小肠炎,A04.600
艰难梭状芽胞杆菌性小肠结肠炎,A04.700
特指细菌性肠道感染,A04.800
变形杆菌肠炎,A04.801
绿脓杆菌肠炎,A04.802
厌氧菌肠炎,A04.803
细菌性肠道感染,A04.900
细菌性结肠炎,A04.901
食物媒介葡萄球菌食物中毒,A05.000
肉毒中毒,A05.100
食物媒介产气荚膜梭状芽胞杆菌食物中毒,A05.200
产气荚膜梭状芽胞杆菌食物中毒,A05.201
急性坏死性肠炎,A05.202
食物媒介副溶血性弧菌食物中毒,A05.300
食物媒介蜡样芽胞杆菌食物中毒,A05.400
特指细菌性食物中毒,A05.800
细菌性食物中毒,A05.900
急性阿米巴痢疾,A06.000
阿米巴结肠炎,A06.001
阿米巴痢疾,A06.002
慢性肠阿米巴病,A06.100
阿米巴非痢疾性结肠炎,A06.200
肠道阿米巴瘤,A06.300
阿米巴肝脓肿,A06.400
阿米巴肺脓肿,A06.500+
阿米巴肝肺脓肿,A06.501+
阿米巴脑脓肿,A06.600+
皮肤阿米巴病,A06.700
特指部位阿米巴感染,A06.800
眼阿米巴病,A06.801
阿米巴病,A06.900
小袋纤毛虫病,A07.000
贾第虫病,A07.100
隐孢子虫病,A07.200
等孢球虫病,A07.300
特指原虫性肠道疾病,A07.800
肠道滴虫病,A07.801
原虫性肠道疾病,A07.900
轮状病毒肠炎,A08.000
诺沃克组病毒引起急性胃肠病,A08.100
腺病毒肠炎,A08.200
特指病毒性肠炎,A08.300
EB病毒性肠炎,A08.301
病毒性肠道感染,A08.400
病毒性肠炎,A08.401
病毒性胃肠炎,A08.402
特指肠道感染,A08.500
特指感染性胃肠炎和结肠炎,A09.000
感染性胃肠炎,A09.001
感染性结肠炎,A09.002
痢疾,A09.003
感染性腹泻,A09.004
脓毒性肠炎,A09.005
急性出血性肠炎,A09.006
胃肠炎和结肠炎,A09.900
胃肠炎,A09.901
结肠炎,A09.902
婴儿腹泻,A09.903
出血性肠炎,A09.904
肺结核，痰镜检（+）,A15.000
肺结核瘤，痰镜检（+）,A15.001
肺干酪性结核，痰镜检（+）,A15.002
结核性肺纤维变性，痰镜检（+）,A15.003
结核性肺炎，痰镜检（+）,A15.004
结核性气胸，痰镜检（+）,A15.005
结核性支气管扩张，痰镜检（+）,A15.006
空洞型肺结核，痰镜检（+）,A15.007
浸润型肺结核，痰镜检（+）,A15.008
增殖型肺结核，痰镜检（+）,A15.009
肺结核，痰培养（+）,A15.100
肺结核瘤，痰培养（+）,A15.101
肺干酪性结核，痰培养（+）,A15.102
结核性肺纤维变性，痰培养（+）,A15.103
结核性肺炎，痰培养（+）,A15.104
结核性气胸，痰培养（+）,A15.105
结核性支气管扩张，痰培养（+）,A15.106
空洞型肺结核，痰培养（+）,A15.107
浸润型肺结核，痰培养（+）,A15.108
增殖型肺结核，痰培养（+）,A15.109
肺结核，病理（+）,A15.200
肺结核瘤，病理（+）,A15.201
肺干酪性结核，病理（+）,A15.202
结核性肺纤维变性，病理（+）,A15.203
结核性肺炎，病理（+）,A15.204
结核性气胸，病理（+）,A15.205
结核性支气管扩张，病理（+）,A15.206
空洞型肺结核，病理（+）,A15.207
浸润型肺结核，病理（+）,A15.208
增殖型肺结核，病理（+）,A15.209
肺结核经证实（+）,A15.300
肺结核瘤经证实（+）,A15.301
肺干酪性结核经证实（+）,A15.302
结核性肺纤维变性经证实（+）,A15.303
结核性肺炎经证实（+）,A15.304
结核性气胸经证实（+）,A15.305
结核性支气管扩张经证实（+）,A15.306
空洞型肺结核经证实（+）,A15.307
浸润型肺结核经证实（+）,A15.308
增殖型肺结核 经证实（+）,A15.309
肺门淋巴结结核，细菌学（+）,A15.400
肺门淋巴结结核，病理（+）,A15.401
气管支气管淋巴结结核，细菌学（+）,A15.402
气管支气管淋巴结结核，病理（+）,A15.403
胸内淋巴结结核，细菌学（+）,A15.404
胸内淋巴结结核，病理（+）,A15.405
纵隔淋巴结结核，细菌学（+）,A15.406
纵隔淋巴结结核，病理（+）,A15.407
支气管淋巴结结核，细菌学（+）,A15.408
支气管淋巴结结核，病理（+）,A15.409
喉结核，细菌学（+）,A15.500
喉结核，病理（+）,A15.501
会厌结核，细菌学（+）,A15.502
会厌结核，病理（+）,A15.503
声带结核，细菌学（+）,A15.504
声带结核，病理（+）,A15.505
气管结核，细菌学（+）,A15.506
气管结核，病理（+）,A15.507
支气管结核，细菌学（+）,A15.508
支气管结核，病理（+）,A15.509
结核性胸膜炎，细菌学（+）,A15.600
结核性胸膜炎，病理（+）,A15.601
结核性脓胸，细菌学（+）,A15.602
结核性脓胸，病理（+）,A15.603
结核性胸腔积液，细菌学（+）,A15.604
结核性胸腔积液，病理（+）,A15.605
结核性渗出性胸膜炎，细菌学（+）,A15.606
结核性渗出性胸膜炎，病理（+）,A15.607
胸膜结核瘤，细菌学（+）,A15.608
胸膜结核瘤，病理（+）,A15.609
原发性呼吸道结核，细菌学（+）,A15.700
原发性呼吸道结核，病理（+）,A15.701
肺原发性结核性复征，细菌学（+）,A15.702
肺原发性结核性复征，病理（+）,A15.703
特指呼吸道结核，细菌学、病理（+）,A15.800
结核性鼻窦炎，细菌学（+）,A15.801
结核性鼻窦炎，病理（+）,A15.802
鼻中隔结核，细菌学（+）,A15.803
鼻中隔结核，病理（+）,A15.804
鼻咽结核，细菌学（+）,A15.805
鼻咽结核，病理（+）,A15.806
鼻结核，细菌学（+）,A15.807
鼻结核，病理（+）,A15.808
扁桃体结核，细菌学（+）,A15.809
扁桃体结核，病理（+）,A15.810
咽部结核，细菌学（+）,A15.811
咽部结核，病理（+）,A15.812
纵隔结核，细菌学（+）,A15.813
纵隔结核，病理（+）,A15.814
呼吸道结核，细菌学（+）,A15.900
呼吸道结核，病理（+）,A15.901
肺结核，细菌学和组织学检查（-）,A16.000
肺结核瘤，痰镜检（-）,A16.001
结核性肺炎，痰镜检（-）,A16.002
结核性肺纤维变性，痰镜检（-）,A16.003
结核性气胸，痰镜检（-）,A16.004
结核性支气管扩张，痰镜检（-）,A16.005
肺干酪性结核，痰镜检（-）,A16.006
空洞型肺结核，痰镜检（-）,A16.007
浸润型肺结核，痰镜检（-）,A16.008
增殖型肺结核，痰镜检（-）,A16.009
肺结核，痰培养（-）,A16.010
肺结核瘤，痰培养（-）,A16.011
结核性肺炎，痰培养（-）,A16.012
结核性肺纤维变性，痰培养（-）,A16.013
结核性气胸，痰培养（-）,A16.014
结核性支气管扩张，痰培养（-）,A16.015
肺干酪性结核，痰培养（-）,A16.016
空洞型肺结核，痰培养（-）,A16.017
浸润型肺结核，痰培养（-）,A16.018
增殖型肺结核，痰培养（-）,A16.019
肺结核，病理（-）,A16.020
肺结核瘤，病理（-）,A16.021
结核性肺炎，病理（-）,A16.022
结核性肺纤维变性，病理（-）,A16.023
结核性气胸，病理（-）,A16.024
结核性支气管扩张，病理（-）,A16.025
肺干酪性结核，病理（-）,A16.026
空洞型肺结核，病理（-）,A16.027
浸润型肺结核，病理（-）,A16.028
增殖型肺结核，病理（-）,A16.029
肺结核瘤，细胞学（组织学）（-）,A16.030
结核性肺炎，细胞学（组织学）（-）,A16.031
结核性肺纤维变性，细胞学（组织学）（-）,A16.032
结核性气胸，细胞学（组织学）（-）,A16.033
结核性支气管扩张，细胞学（组织学）（-）,A16.034
肺干酪性结核，细胞学（组织学）（-）,A16.035
空洞型肺结核，细胞学（组织学）（-）,A16.036
浸润型肺结核，细胞学（组织学）（-）,A16.037
增殖型肺结核，细胞学（组织学）（-）,A16.038
肺结核，未做细菌学和组织学检查,A16.100
肺结核瘤，未做细菌学和组织学检查,A16.101
结核性肺炎，未做细菌学和组织学检查,A16.102
结核性肺纤维变性，未做细菌学和组织学检查,A16.103
结核性气胸，未做细菌学和组织学检查,A16.104
结核性支气管扩张，未做细菌学和组织学检查,A16.105
肺干酪性结核，未做细菌学和组织学检查,A16.106
空洞型肺结核，未做细菌学和组织学检查,A16.107
浸润型肺结核，未做细菌学和组织学检查,A16.108
增殖型肺结核，未做细菌学和组织学检查,A16.109
肺结核,A16.200
肺结核瘤,A16.201
结核性肺炎,A16.202
结核性肺纤维变性,A16.203
结核性气胸,A16.204
结核性支气管扩张,A16.205
肺干酪性结核,A16.206
空洞型肺结核,A16.207
浸润型肺结核,A16.208
增殖型肺结核,A16.209
胸腔内淋巴结结核,A16.300
肺门淋巴结结核,A16.301
胸内淋巴结结核,A16.302
气管支气管淋巴结结核,A16.303
支气管淋巴结结核,A16.304
纵隔淋巴结结核,A16.305
喉结核,A16.400
会厌结核,A16.401
气管结核,A16.402
声带结核,A16.403
支气管结核,A16.404
结核性胸膜炎,A16.500
结核性脓胸,A16.501
结核性胸腔积液,A16.502
结核性渗出性胸膜炎,A16.503
胸膜结核瘤,A16.504
原发性呼吸道结核,A16.700
肺原发性结核性复征,A16.701
特指呼吸道结核,A16.800
结核性鼻窦炎,A16.801
鼻中隔结核,A16.802
鼻咽结核,A16.803
鼻结核,A16.804
扁桃体结核,A16.805
咽部结核,A16.806
纵隔结核,A16.807
呼吸道结核,A16.900
胸壁结核,A16.901
结核性脑膜炎,A17.000+
结核性脑脊髓膜炎,A17.001+
脑膜结核瘤,A17.100+
神经系统特指结核,A17.800+
脑结核瘤,A17.801+
结核性脑肉芽肿,A17.802+
结核性脑膜脑炎,A17.803+
结核性脑炎,A17.804+
结核性脑脓肿,A17.805+
脊髓结核,A17.806+
神经系统结核,A17.900+
骨结核,A18.001+
关节结核,A18.002+
鼻骨结核,A18.003+
下颌结核,A18.004+
颈椎结核,A18.005+
胸椎结核,A18.006+
腰椎结核,A18.007+
腰椎结核性窦道,A18.008+
脊柱结核,A18.009+
脊柱结核性脓肿,A18.010+
结核性脊柱后凸,A18.011
脊柱结核性截瘫,A18.012+
结核性脊柱裂,A18.013+
肋骨结核,A18.014+
耻骨结核,A18.015+
肱骨结核,A18.016+
桡骨结核,A18.017+
尺骨结核,A18.018+
掌骨结核,A18.019+
指骨结核,A18.020+
股骨结核,A18.021+
胫骨结核,A18.022+
腓骨结核,A18.023+
跟骨结核,A18.024+
楔骨结核,A18.025+
趾骨结核,A18.026+
肩关节结核,A18.027+
肘关节结核,A18.028+
腕关节结核,A18.029+
指关节结核,A18.030+
髋关节结核,A18.031+
骶髂关节结核,A18.032+
髋关节结核性滑膜炎,A18.033+
膝关节结核,A18.034+
膝关节结核性滑膜炎,A18.035+
踝关节结核,A18.036+
跖趾关节结核,A18.037+
趾关节结核,A18.038+
关节结核性风湿病,A18.039+
关节结核性窦道,A18.040+
滑膜结核,A18.041+
肌腱结核,A18.042+
泌尿生殖系统结核,A18.100
泌尿系统结核,A18.101
生殖系统结核,A18.102
肾结核,A18.103+
结核性肾脓肿,A18.104+
结核性肾盂积水,A18.105+
输尿管结核,A18.106+
结核性输尿管狭窄,A18.107+
膀胱结核,A18.108+
前列腺结核,A18.109+
输精管结核,A18.110+
子宫内膜结核,A18.111+
子宫颈结核,A18.112+
输卵管结核,A18.113+
卵巢结核,A18.114+
女性盆腔结核,A18.115+
结核性阴囊瘘,A18.116+
睾丸结核,A18.117+
附睾结核,A18.118+
阴茎结核,A18.119+
结核性周围淋巴结病,A18.200
头颈部结核性淋巴结炎,A18.201
颊淋巴结结核,A18.202
腮腺淋巴结结核,A18.203
颏下淋巴结结核,A18.204
颈淋巴结结核,A18.205
锁骨上淋巴结结核,A18.206
腋下淋巴结结核,A18.207
食管旁淋巴结结核,A18.208
闭孔淋巴结结核,A18.209
腹股沟淋巴结结核,A18.210
结核性淋巴管炎,A18.211
全身多发淋巴结结核,A18.212
肠、腹膜和肠系膜淋巴结的结核,A18.300
肝门淋巴结结核,A18.301
阑尾结核,A18.302+
肠结核,A18.303+
结核性肠炎,A18.304+
结肠结核瘤,A18.305+
结核性肛瘘,A18.306+
肛周结核,A18.307+
腹腔淋巴结结核,A18.308
结核性腹腔积液,A18.309
腹膜后淋巴结结核,A18.310
腹膜结核,A18.311+
腹部结核性脓肿,A18.312+
腹部结核性窦道,A18.313+
结核性腹膜炎,A18.314+
肠系膜结核,A18.315+
肠系膜淋巴结结核,A18.316+
髂窝结核性脓肿,A18.317
髂窝淋巴结结核,A18.318
皮肤和皮下组织的结核,A18.400
皮肤结核,A18.401
皮下组织结核,A18.402
皮肤结核性窦道,A18.403
瘰疠性皮肤结核,A18.404
结核性皮肤脓肿,A18.405
腹壁结核,A18.406
皮下组织结核性窦道,A18.407
结核性结节性红斑,A18.408
播散性粟粒性狼疮,A18.409
寻常性狼疮,A18.410
巴赞病,A18.411
眼结核,A18.500
视网膜结核,A18.501+
脉络膜结核,A18.502+
视神经结核,A18.503+
葡萄膜结核,A18.504+
结核性葡萄膜炎,A18.505+
角膜结核,A18.506+
耳结核,A18.600
结核性中耳炎,A18.601+
肾上腺结核,A18.700+
特指器官结核,A18.800
垂体结核,A18.801+
舌结核,A18.802+
咀嚼肌结核,A18.803+
腮腺结核,A18.804+
颌下腺结核,A18.805+
甲状腺结核,A18.806+
结核性食管炎,A18.807+
结核性心包炎,A18.808+
结核性心包积液,A18.809+
胸大肌结核,A18.810+
乳腺结核,A18.811
胃结核,A18.812+
脾结核,A18.813+
肝结核,A18.814+
胆管结核,A18.815+
胆囊结核,A18.816+
胰腺结核,A18.817+
结核性腹主动脉炎,A18.818+
结缔组织结核,A18.819+
单个特指部位急性粟粒性结核,A19.000
急性血行播散型肺结核,A19.001
多个部位急性粟粒性结核,A19.100
急性粟粒性结核,A19.200
特指粟粒性结核,A19.800
亚急性血行播散型肺结核,A19.801
慢性血行播散型肺结核,A19.802
亚急性血行播散型结核,A19.803
粟粒性结核,A19.900
结核性多浆膜炎,A19.901
全身性粟粒性结核,A19.902
腺鼠疫,A20.000
蜂窝织皮下型鼠疫,A20.100
肺鼠疫,A20.200
脑膜炎型鼠疫,A20.300
败血症型鼠疫,A20.700
特指形式鼠疫,A20.800
顿挫性鼠疫,A20.801
慢性重型混合型病毒性肝炎,B18.005
慢性乙型病毒性肝炎，不伴有δ因子,B18.100
慢性活动型乙型病毒性肝炎,B18.101
慢性迁延型乙型病毒性肝炎,B18.102
乙型肝炎相关性肾炎,B18.103+
慢性轻度乙型病毒性肝炎,B18.104
慢性中度乙型病毒性肝炎,B18.105
慢性重度乙型病毒性肝炎,B18.106
慢性乙型病毒性肝炎,B18.107
慢性丙型病毒性肝炎,B18.200
慢性黄疸型丙型病毒性肝炎,B18.201
慢性轻度丙型病毒性肝炎,B18.202
慢性中度丙型病毒性肝炎,B18.203
慢性重度丙型病毒性肝炎,B18.204
丙型肝炎相关性肾炎,B18.205+
特指慢性病毒性肝炎,B18.800
慢性轻度重叠感染型病毒性肝炎,B18.801
慢性丁型肝炎,B18.817
慢性庚型肝炎,B18.818
慢性病毒性肝炎,B18.900
慢性轻度病毒性肝炎,B18.901
慢性中度病毒性肝炎,B18.902
慢性重度病毒性肝炎,B18.903
病毒性肝炎相关性肾病,B18.904+
病毒性肝炎伴肝昏迷,B19.000
急性重型病毒性肝炎伴肝昏迷,B19.001
亚急性重型病毒性肝炎伴肝昏迷,B19.002
病毒性肝炎,B19.900
输血后肝炎,B19.901
人类免疫缺陷病毒病伴分枝杆菌性感染,B20.000
人类免疫缺陷病毒病性结核菌感染,B20.001
人类免疫缺陷病毒病性颈淋巴结结核,B20.002
人类免疫缺陷病毒病性肺结核,B20.003
人类免疫缺陷病毒病性结核性胸膜炎,B20.004
人类免疫缺陷病毒病性肠结核,B20.005
人类免疫缺陷病毒病性结核性腹膜炎,B20.006
人类免疫缺陷病毒[HIV]病造成特指细菌感染,B20.100
人类免疫缺陷病毒病性巨细胞病毒感染,B20.200
人类免疫缺陷病毒[HIV]病造成的特指病毒感染,B20.300
人类免疫缺陷病毒病性带状疱疹,B20.301
人类免疫缺陷病毒病性念珠菌病,B20.400
人类免疫缺陷病毒病性特指真菌病,B20.500
人类免疫缺陷病毒病性卡氏肺囊虫肺炎,B20.600
人类免疫缺陷病毒病性多发性感染,B20.700
